fire_id,model,n_pixels,rmse,mae,r2,pearson_r,top25_iou,top25_f1
2014_2151,naive_training_mean,71843,0.25745686888694763,0.2212766706943512,-0.40174734592437744,,,
2014_2151,linear_full,71843,0.29632464051246643,0.25641998648643494,-0.8569331169128418,0.26452802200775255,0.19936687770743086,0.332453532631345
2014_2151,rf_spectral,71843,0.2394055426120758,0.20367597043514252,-0.21207404136657715,0.20174369207072915,0.17413146305659763,0.2966132303503459
2014_2151,rf_structure_terrain,71843,0.3846038281917572,0.33584368228912354,-2.12815260887146,0.17137571640431312,0.1856573442698554,0.31317200566776876
2014_2151,rf_full,71843,0.3484901189804077,0.29882463812828064,-1.5682761669158936,0.20299972786119602,0.20361824505082932,0.33834356680465644
2014_612,naive_training_mean,132098,0.19256041944026947,0.15163269639015198,-0.036986589431762695,,,
2014_612,linear_full,132098,0.17758287489414215,0.14319846034049988,0.11805540323257446,0.3673477538431752,0.22379304602061398,0.36573675058592275
2014_612,rf_spectral,132098,0.18026487529277802,0.14312072098255157,0.09121453762054443,0.32650104450009515,0.18112978408015287,0.30670598019203144
2014_612,rf_structure_terrain,132098,0.1985536515712738,0.16243353486061096,-0.10254144668579102,0.29292730425893393,0.23353974708098632,0.3786497316095864
2014_612,rf_full,132098,0.18704581260681152,0.1496887058019638,0.02155780792236328,0.46000904282436084,0.28612267123021273,0.44493838360928406
2016_174,naive_training_mean,53125,0.3856039345264435,0.37326937913894653,-9.17868709564209,,,
2016_174,linear_full,53125,0.31976842880249023,0.30219149589538574,-5.999709129333496,-0.21006249217521714,0.12026970080067426,0.214715618417093
2016_174,rf_spectral,53125,0.3658994436264038,0.3465832769870758,-8.164997100830078,-0.16684518107048554,0.1197978096040438,0.21396328618718025
2016_174,rf_structure_terrain,53125,0.37676912546157837,0.3561878204345703,-8.717609405517578,-0.06508174770497394,0.14670232497951086,0.2558681913933193
2016_174,rf_full,53125,0.3021545708179474,0.27121275663375854,-5.249815464019775,-0.19637716128118984,0.1210255545247533,0.21591934998495335
2017_1816,naive_training_mean,33624,0.24161924421787262,0.19760733842849731,-0.008774399757385254,,,
2017_1816,linear_full,33624,0.24874892830848694,0.19832202792167664,-0.06918632984161377,0.31607019590163543,0.2892416225749559,0.4487004103967168
2017_1816,rf_spectral,33624,0.2634417414665222,0.21551251411437988,-0.19922351837158203,0.11163334368006882,0.19105979030886938,0.32082317254505444
2017_1816,rf_structure_terrain,33624,0.2611593008041382,0.20662814378738403,-0.17853379249572754,0.1496674061966135,0.21665822418409436,0.3561529768631416
2017_1816,rf_full,33624,0.24871186912059784,0.195344477891922,-0.06886780261993408,0.2747521872400466,0.24975841819668476,0.3996907155177541
2017_849,naive_training_mean,115316,0.2004850059747696,0.15794146060943604,-0.12096655368804932,,,
2017_849,linear_full,115316,0.17837294936180115,0.14157482981681824,0.11266660690307617,0.4276779919713679,0.21578681909885675,0.35497476318882665
2017_849,rf_spectral,115316,0.18831048905849457,0.14886000752449036,0.01104193925857544,0.34758908875971845,0.20545518951470068,0.34087569791360567
2017_849,rf_structure_terrain,115316,0.20176111161708832,0.16019807755947113,-0.13528192043304443,0.13858558107672272,0.18440340676439276,0.3113861471711811
2017_849,rf_full,115316,0.1948588490486145,0.15203769505023956,-0.058934569358825684,0.2438246534737567,0.21313984943485645,0.3513854557397452
2018_1274,naive_training_mean,45701,0.31575626134872437,0.2684224843978882,-0.7370181083679199,,,
2018_1274,linear_full,45701,0.2895611822605133,0.2467033714056015,-0.4607675075531006,0.3994364698030546,0.2523538427851982,0.40300725587901043
2018_1274,rf_spectral,45701,0.31218311190605164,0.26426962018013,-0.697927713394165,0.23532741574887106,0.19324049444531372,0.32389194859690534
2018_1274,rf_structure_terrain,45701,0.3317125737667084,0.27953436970710754,-0.9170095920562744,0.005720397472305516,0.17782125205930807,0.3019494711076143
2018_1274,rf_full,45701,0.31781765818595886,0.26462292671203613,-0.7597721815109253,0.19329417267561905,0.2367154981350343,0.3828131829705394
2018_1726,naive_training_mean,41431,0.3039381504058838,0.2761545777320862,-1.790954828262329,,,
2018_1726,linear_full,41431,0.32931238412857056,0.2927094101905823,-2.276411771774292,0.0017918806700896904,0.12303948080043267,0.21911870936672284
2018_1726,rf_spectral,41431,0.3477225601673126,0.30580979585647583,-2.652986526489258,0.025249160322970372,0.14414017301228718,0.25196243679268
2018_1726,rf_structure_terrain,41431,0.2878338396549225,0.25456711649894714,-1.5030300617218018,0.1363031452632508,0.19703695163428836,0.3292078015892126
2018_1726,rf_full,41431,0.33616480231285095,0.2899239659309387,-2.4141831398010254,0.08960030492509244,0.1664419728120436,0.28538405971586805
2019_105,naive_training_mean,46262,0.202658012509346,0.16373935341835022,-0.006171226501464844,,,
2019_105,linear_full,46262,0.23403050005435944,0.18249228596687317,-0.34180450439453125,0.1324089910667464,0.19489559164733178,0.3262135922330097
2019_105,rf_spectral,46262,0.2036891132593155,0.1672103852033615,-0.016435861587524414,0.26138216427268435,0.29418663092645336,0.4546278317152104
2019_105,rf_structure_terrain,46262,0.2792569398880005,0.21891799569129944,-0.9105231761932373,-0.06224138077500216,0.12856099342585828,0.227831715210356
2019_105,rf_full,46262,0.25632238388061523,0.20160607993602753,-0.60959792137146,0.019901470119894377,0.14478363959691762,0.25294498381877023
2020_293,naive_training_mean,50074,0.2748277187347412,0.23206016421318054,-0.24734628200531006,,,
2020_293,linear_full,50074,0.3644261956214905,0.2700897753238678,-1.1932344436645508,0.045220164840649585,0.19911102614347848,0.3320977320738172
