model,events,mean_rmse,sd_rmse,mean_mae,mean_r2,median_r2,mean_pearson_r,mean_high_iou,mean_high_f1
linear_full,12,0.259749432404836,0.06362833514425982,0.21595118567347524,-0.9411372989416122,-0.2948840260505676,0.18709825096868252,0.050098068742111944,0.07857823038564278
naive_training_mean,12,0.25726088633139926,0.06409442213843293,0.21878973767161367,-1.0960802733898163,-0.18415641784667966,,0.0,0.0
rf_full,12,0.26432322586576146,0.05276031721620805,0.21788764744997022,-0.9813223679860433,-0.3984386920928955,0.18124837956258996,0.09095549722634554,0.1539508994808452
rf_spectral,12,0.2669768954316775,0.06205072963660425,0.22489704440037406,-1.1828618397315342,-0.39813232421875,0.13283119729922876,0.04463241497497076,0.08242522609303254
rf_structure_terrain,12,0.2718837211529414,0.06425162870872786,0.22794809068242705,-1.2650351623694103,-0.30796599388122553,0.11905059620166929,0.08684682143321891,0.14312118447882405
