fire_id,model,n_train,n_test,training_events,seconds,rmse,mae,r2,pearson_r,high_threshold_train_p75,high_iou,high_f1,observed_high_fraction,predicted_high_fraction
2014_2151,naive_training_mean,165000,71843,11,0.0045275000011315,0.2574568688869476,0.2212766706943512,-0.4017473459243774,,0.6010000109672546,0.0,0.0,0.4858510919644224,0.0
2014_2151,linear_full,165000,71843,11,0.0718734000110998,0.2963246405124664,0.2564199864864349,-0.8569331169128418,0.2645280220077525,0.6010000109672546,0.0,0.0,0.4858510919644224,0.0
2014_2151,rf_spectral,165000,71843,11,9.999861799995417,0.2394055426120758,0.2036759704351425,-0.2120740413665771,0.2017436920707291,0.6010000109672546,0.0112766929313691,0.0223018942494989,0.4858510919644224,0.0072101666133095
2014_2151,rf_structure_terrain,165000,71843,11,7.252845499999239,0.3846038281917572,0.3358436822891235,-2.12815260887146,0.1713757164043131,0.6010000109672546,0.0,0.0,0.4858510919644224,0.0
2014_2151,rf_full,165000,71843,11,19.30611040000804,0.3484901189804077,0.2988246381282806,-1.5682761669158936,0.202999727861196,0.6010000109672546,0.0002002861230329,0.0004004920330691,0.4858510919644224,0.0007238005094442
2014_612,naive_training_mean,165000,132098,11,0.0201722999918274,0.1925604194402694,0.1516326963901519,-0.0369865894317626,,0.6309999823570251,0.0,0.0,0.1002588986964223,0.0
2014_612,linear_full,165000,132098,11,0.080580000008922,0.1775828748941421,0.1431984603404998,0.1180554032325744,0.3673477538431752,0.6309999823570251,0.0,0.0,0.1002588986964223,7.570137322291026e-06
2014_612,rf_spectral,165000,132098,11,9.688290499994764,0.180264875292778,0.1431207209825515,0.0912145376205444,0.3265010445000951,0.6309999823570251,0.0017918470957144,0.0035772842450439,0.1002588986964223,0.0013172038940786
2014_612,rf_structure_terrain,165000,132098,11,6.750189900005353,0.1985536515712738,0.1624335348606109,-0.102541446685791,0.2929273042589339,0.6309999823570251,0.0003744757339724,0.0007486711087819,0.1002588986964223,0.0008554255174188
2014_612,rf_full,165000,132098,11,17.282571000003372,0.1870458126068115,0.1496887058019638,0.0215578079223632,0.4600090428243608,0.6309999823570251,0.0030624439796832,0.0061061881003797,0.1002588986964223,0.0014004754046238
2016_174,naive_training_mean,165000,53125,11,0.01729499999783,0.3856039345264435,0.3732693791389465,-9.17868709564209,,0.6380000114440918,0.0,0.0,0.0087905882352941,0.0
2016_174,linear_full,165000,53125,11,0.062962800002424,0.3197684288024902,0.3021914958953857,-5.999709129333496,-0.2100624921752171,0.6380000114440918,0.0,0.0,0.0087905882352941,0.0
2016_174,rf_spectral,165000,53125,11,10.203379500002484,0.3658994436264038,0.3465832769870758,-8.164997100830078,-0.1668451810704855,0.6380000114440918,0.0,0.0,0.0087905882352941,0.0025788235294117
2016_174,rf_structure_terrain,165000,53125,11,7.489294700004393,0.3767691254615783,0.3561878204345703,-8.717609405517578,-0.0650817477049739,0.6380000114440918,0.0,0.0,0.0087905882352941,0.0047247058823529
2016_174,rf_full,165000,53125,11,19.120918300002813,0.3021545708179474,0.2712127566337585,-5.249815464019775,-0.1963771612811898,0.6380000114440918,0.0,0.0,0.0087905882352941,0.0003388235294117
2017_1816,naive_training_mean,165000,33624,11,0.0175028000085148,0.2416192442178726,0.1976073384284973,-0.0087743997573852,,0.6190000176429749,0.0,0.0,0.2500297406614323,0.0
2017_1816,linear_full,165000,33624,11,0.0604673000052571,0.2487489283084869,0.1983220279216766,-0.0691863298416137,0.3160701959016354,0.6190000176429749,0.291324200913242,0.4512022630834512,0.2500297406614323,0.2546098025220081
2017_1816,rf_spectral,165000,33624,11,10.810370899998816,0.2634417414665222,0.2155125141143798,-0.199223518371582,0.1116333436800688,0.6190000176429749,0.0694563867392758,0.1298910130427014,0.2500297406614323,0.0828872234118486
2017_1816,rf_structure_terrain,165000,33624,11,7.931406100004096,0.2611593008041382,0.206628143787384,-0.1785337924957275,0.1496674061966135,0.6190000176429749,0.19834207924557,0.3310274798502253,0.2500297406614323,0.2185938615274803
2017_1816,rf_full,165000,33624,11,19.20849829999497,0.2487118691205978,0.195344477891922,-0.068867802619934,0.2747521872400466,0.6190000176429749,0.2506856422800385,0.4008771409944882,0.2500297406614323,0.2517844396859386
2017_849,naive_training_mean,165000,115316,11,0.0201311999990139,0.2004850059747696,0.157941460609436,-0.1209665536880493,,0.6330000162124634,0.0,0.0,0.0790870304207568,0.0
