model,feature,mean_importance,sd_importance
rf_full,aspect_cos,0.046547464636060375,0.00363405171337501
rf_full,aspect_sin,0.042733554902093164,0.0043210228861495364
rf_full,elevation,0.30491619853145907,0.024591351364418316
rf_full,pre_NBR,0.04676422398585934,0.00429676260983533
rf_full,pre_NDMI,0.0532124880011931,0.004509121250827137
rf_full,pre_NDVI,0.05356635955571306,0.004637859000340237
rf_full,pre_nir,0.1409288205832752,0.025154129834751626
rf_full,pre_red,0.04924690516254936,0.006529352121261464
rf_full,pre_swir1,0.057564417691234944,0.011598639274918424
rf_full,pre_swir2,0.039205301782200226,0.003937018522687493
rf_full,slope,0.118063251737196,0.012180199393812688
rf_full,tree_cover2000,0.04725101343116561,0.0028776530088214783
rf_spectral,pre_NBR,0.1304180837604681,0.00625920539209965
rf_spectral,pre_NDMI,0.13679152429147465,0.008293625349265454
rf_spectral,pre_NDVI,0.14555167342549838,0.007844441824884363
rf_spectral,pre_nir,0.1893801607627856,0.029067304578839163
rf_spectral,pre_red,0.16203622227071435,0.01262029270196201
rf_spectral,pre_swir1,0.1274928312550869,0.023672097633567795
rf_spectral,pre_swir2,0.10832950423397182,0.004541023264219881
rf_structure_terrain,aspect_cos,0.09717872197185473,0.007965419676333555
rf_structure_terrain,aspect_sin,0.09849276191957572,0.008599688289684162
rf_structure_terrain,elevation,0.4798368963522845,0.02463726782488059
rf_structure_terrain,slope,0.19500591574532034,0.009351344872788258
rf_structure_terrain,tree_cover2000,0.1294857040109646,0.007838380518484539
