fire_id,model,n_blocks,rmse,mae,r2,pearson_r
2014_2151,naive_training_mean,984,0.18031544983386993,0.1492237001657486,-0.5468376874923706,
2014_2151,linear_full,984,0.22815774381160736,0.1950089931488037,-1.4765625,0.21946179248900993
2014_2151,rf_spectral,984,0.15901623666286469,0.13101425766944885,-0.20298945903778076,0.3920259970561212
2014_2151,rf_structure_terrain,984,0.3185238242149353,0.2830609381198883,-3.8268380165100098,0.1418318251083286
2014_2151,rf_full,984,0.28212594985961914,0.24177762866020203,-2.786735773086548,0.19328781168158327
2014_612,naive_training_mean,2391,0.17254343628883362,0.1384621411561966,-0.3039367198944092,
2014_612,linear_full,2391,0.1374054253101349,0.10985422134399414,0.17307251691818237,0.43100137597160393
2014_612,rf_spectral,2391,0.14960357546806335,0.11963030695915222,0.019734680652618408,0.38450932592481313
2014_612,rf_structure_terrain,2391,0.1451660394668579,0.11630909144878387,0.0770254135131836,0.3822097286251679
2014_612,rf_full,2391,0.13905827701091766,0.10921788215637207,0.15305858850479126,0.520677500418499
2016_174,naive_training_mean,1100,0.3763391673564911,0.366567462682724,-11.858561515808105,
2016_174,linear_full,1100,0.30027252435684204,0.287421315908432,-7.185866355895996,-0.2576973248185037
2016_174,rf_spectral,1100,0.34740936756134033,0.3343464732170105,-9.957629203796387,-0.25651295812652253
2016_174,rf_structure_terrain,1100,0.3647454082965851,0.3494779169559479,-11.078505516052246,-0.0962668503552366
2016_174,rf_full,1100,0.27203795313835144,0.25053533911705017,-5.718812465667725,-0.2332236027032808
2017_1816,naive_training_mean,581,0.18741042912006378,0.14887408912181854,-0.015244603157043457,
2017_1816,linear_full,581,0.22388885915279388,0.17498008906841278,-0.4489325284957886,0.29170731449750165
2017_1816,rf_spectral,581,0.20774957537651062,0.16569887101650238,-0.24756574630737305,0.08465775746005755
2017_1816,rf_structure_terrain,581,0.2313111126422882,0.17606878280639648,-0.5465935468673706,0.053585903079409414
2017_1816,rf_full,581,0.22419996559619904,0.16831673681735992,-0.4529620409011841,0.1792614633783272
2017_849,naive_training_mean,2180,0.18353623151779175,0.1484355926513672,-0.6318682432174683,
2017_849,linear_full,2180,0.14959940314292908,0.12070243805646896,-0.08417952060699463,0.49076094809912907
2017_849,rf_spectral,2180,0.16477203369140625,0.1343318223953247,-0.3152505159378052,0.46578140803221246
2017_849,rf_structure_terrain,2180,0.15480394661426544,0.12107885628938675,-0.16092872619628906,0.19197542301897158
2017_849,rf_full,2180,0.14409375190734863,0.11241400241851807,-0.005846738815307617,0.3103271048769286
2018_1274,naive_training_mean,655,0.2610349655151367,0.2189197838306427,-0.3378335237503052,
2018_1274,linear_full,655,0.23539362847805023,0.19634944200515747,-0.087912917137146,0.5607992481288411
2018_1274,rf_spectral,655,0.2538652718067169,0.2132648527622223,-0.26535189151763916,0.414923809926372
2018_1274,rf_structure_terrain,655,0.2742016613483429,0.22399115562438965,-0.4761989116668701,-0.018282720247401827
2018_1274,rf_full,655,0.25681060552597046,0.20916947722434998,-0.29488325119018555,0.3216460551731271
2018_1726,naive_training_mean,864,0.27616220712661743,0.25315144658088684,-2.848706007003784,
2018_1726,linear_full,864,0.28594881296157837,0.253286212682724,-3.1263203620910645,0.0018987680722212345
2018_1726,rf_spectral,864,0.2967912554740906,0.262070894241333,-3.445171356201172,0.04227295178514234
2018_1726,rf_structure_terrain,864,0.24889443814754486,0.22331686317920685,-2.12619948387146,0.21172206576907487
2018_1726,rf_full,864,0.2797408998012543,0.24118831753730774,-2.9491007328033447,0.11489970734106891
2019_105,naive_training_mean,693,0.14824576675891876,0.11921601742506027,-5.960464477539062e-07,
2019_105,linear_full,693,0.18472212553024292,0.1446358561515808,-0.552649736404419,0.1883424283663704
2019_105,rf_spectral,693,0.14701612293720245,0.11749251931905746,0.016519784927368164,0.32570787937408485
2019_105,rf_structure_terrain,693,0.22888794541358948,0.1839853823184967,-1.383864164352417,-0.1280754042889728
2019_105,rf_full,693,0.20325133204460144,0.16355711221694946,-0.8797603845596313,-0.008984382630942112
2020_293,naive_training_mean,937,0.21929489076137543,0.18023385107517242,-0.14053058624267578,
2020_293,linear_full,937,0.2574269771575928,0.2048065960407257,-0.5716578960418701,0.03858630513181744
2020_293,rf_spectral,937,0.241580069065094,0.20044583082199097,-0.38411498069763184,0.11870978320033773
2020_293,rf_structure_terrain,937,0.2038467675447464,0.1597457081079483,0.014497756958007812,0.27391845706674367
