model,events,mean_rmse,rmse_ci_low,rmse_ci_high,mean_mae,mae_ci_low,mae_ci_high,mean_r2,r2_ci_low,r2_ci_high,mean_pearson_r,pearson_r_ci_low,pearson_r_ci_high,mean_top25_iou,top25_iou_ci_low,top25_iou_ci_high,mean_top25_f1,top25_f1_ci_low,top25_f1_ci_high,block_mean_rmse,block_rmse_ci_low,block_rmse_ci_high,block_mean_mae,block_mae_ci_low,block_mae_ci_high,block_mean_r2,block_r2_ci_low,block_r2_ci_high,block_mean_pearson_r,block_pearson_r_ci_low,block_pearson_r_ci_high
naive_training_mean,12,0.25726088633139926,0.22363410809387763,0.2922557276363174,0.2187897376716137,0.1836525875143707,0.25733082136139274,-1.0960802733898163,-2.646355797847112,-0.15681734755635268,,,,,,,,,,0.21390851587057114,0.17992924582213163,0.25239496376986303,0.1813303710271915,0.1467014823264132,0.22328934816954032,-1.4440461695194244,-3.4445956259965897,-0.2053893893957138,,,
linear_full,12,0.259749432404836,0.22582761241743962,0.29488986094171804,0.21595118567347527,0.18426112237696846,0.24838598988329372,-0.9411372989416122,-1.9876536214103302,-0.20037386653323971,0.18709825096868257,0.07951479843456723,0.28620904515868845,0.20216570506568957,0.17361959124027848,0.22961629725153143,0.3334512654040595,0.2931840266349487,0.3711904591699924,0.21093026796976724,0.18100439918537936,0.24088245943809547,0.17566225305199623,0.14647919015648464,0.206752425711602,-1.1375475178162258,-2.411121144766609,-0.2254514448344708,0.21342336641180285,0.08441016858384325,0.3338041689409935
rf_full,12,0.26432322586576146,0.23628706795473894,0.29350360442573825,0.21788764744997025,0.19063939880579708,0.24674710941811404,-0.9813223679860433,-1.896190716822942,-0.28960480242967607,0.18124837956258996,0.08906779587968201,0.26493632053471106,0.21276841975658325,0.18528866124293866,0.2387944361785496,0.34834396965693065,0.31002643947520914,0.38402056823603326,0.21285047506292662,0.18553884007657567,0.24026718862975638,0.1749744489789009,0.14886015144487222,0.20247625426078836,-1.1584651072820027,-2.227022074535489,-0.30037115402519776,0.21592823641564066,0.10283531173374358,0.31734617084224764
rf_spectral,12,0.2669768954316775,0.23334179564068716,0.30021632590020697,0.22489704440037409,0.1916100398947795,0.2594116521688799,-1.1828618397315342,-2.567302582164605,-0.25359098911285405,0.1328311972992288,0.049192009692934274,0.21287532128019215,0.18463977136995235,0.16369045523080034,0.20966165400234232,0.3097873172685197,0.28016249499603024,0.34394952076268254,0.21388969322045645,0.18161546668658654,0.2494212851859629,0.18001425576706728,0.1474612735211849,0.21769690240422881,-1.3505773643652599,-3.0369654306521014,-0.21778234851857034,0.18590200787551422,0.0626546801837555,0.2996235485172542
rf_structure_terrain,12,0.2718837211529414,0.2388072043657303,0.3086129065913459,0.22794809068242708,0.1947125461573402,0.2654869773114721,-1.2650351623694103,-2.7410160479446253,-0.3085334708293279,0.1190505962016693,0.05995575338516286,0.17461008273977918,0.18920794820969708,0.17139134540723486,0.20670105234776434,0.3170345686942037,0.2913942984047869,0.3417423746703588,0.22522501399119696,0.19074299683173496,0.26314376226315894,0.18859035335481167,0.15342981605790557,0.22907126448117196,-1.670581340789795,-3.59769531575342,-0.3511213158567749,0.1420727194232838,0.054542762317903726,0.2260665103964466
